País,Producto,Elemento,Año,Valor,Z_score
URSS,Energía,Emisiones (CO2),1988,3893691.2,24.523048
URSS,Energía,Emisiones (CO2),1986,3827753.0,24.105707
URSS,Energía,Emisiones (CO2),1985,3811275.5,24.001417
URSS,Energía,Emisiones (CO2),1987,3811145.0,24.000591
URSS,Energía,Emisiones (CO2),1989,3804775.8,23.960278
URSS,Energía,Emisiones (CO2),1984,3537270.8,22.26717
URSS,Energía,Emisiones (CO2),1983,3512241.0,22.10875
URSS,Energía,Emisiones (CO2),1980,3483590.8,21.927416
URSS,Energía,Emisiones (CO2),1982,3470783.2,21.846354
URSS,Energía,Emisiones (CO2),1977,3414467.0,21.489912
URSS,Energía,Emisiones (CO2),1981,3409346.0,21.4575
URSS,Energía,Emisiones (CO2),1979,3354958.5,21.113268
URSS,Energía,Emisiones (CO2),1978,3308904.8,20.821781
URSS,Energía,Emisiones (CO2),1976,3307901.0,20.81543
URSS,Energía,Emisiones (CO2),1975,3192645.2,20.085945
URSS,Energía,Emisiones (CO2),1974,3060723.2,19.250977
URSS,Energía,Emisiones (CO2),1973,2959543.0,18.61058
URSS,Energía,Emisiones (CO2),1972,2852854.0,17.935318
URSS,Energía,Emisiones (CO2),1971,2722768.8,17.111975
URSS,Energía,Emisiones (CO2),1970,2602287.5,16.349419
URSS,Energía,Emisiones (CO2),1969,2364220.2,14.8426285
URSS,Energía,Emisiones (CO2),1968,2269185.0,14.241126
URSS,Energía,Emisiones (CO2),1967,2208002.2,13.853884
URSS,Energía,Emisiones (CO2eq) (AR5),1990,2184072.5,13.702427
URSS,Energía,Emisiones (CO2),1966,2112227.2,13.2477
URSS,Energía,Emisiones (CO2eq) (AR5),1991,2108327.2,13.223016
URSS,Energía,Emisiones (CO2),1965,2000141.6,12.538281
URSS,Energía,Emisiones (CO2),1990,1950378.5,12.223317
URSS,Energía,Emisiones (CO2),1991,1887042.2,11.822446
URSS,Energía,Emisiones (CO2),1964,1885698.8,11.813942
URSS,Energía,Emisiones (CO2),1963,1771914.4,11.093771
URSS,Energía,Emisiones (CO2),1962,1650594.9,10.325909
URSS,Energía,Emisiones (CO2),1961,1574016.5,9.841225
URSS,Suelos agrícolas,Emisiones (CO2eq) (AR5),1990,834255.9,5.159087
URSS,Suelos agrícolas,Emisiones (CO2eq) (AR5),1991,801997.9,4.954918
URSS,Suelos agrícolas,Emisiones (CO2),1990,702184.4,4.3231726
URSS,Suelos agrícolas,Emisiones (CO2),1991,673014.0,4.1385455
