País,Producto,Elemento,Año,Valor,Z_score
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2020,80104.94,21.931042
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2021,79462.305,21.754206
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2022,79241.36,21.693405
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2018,78009.62,21.35446
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2019,77927.414,21.331839
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2016,77738.12,21.279749
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2017,77604.62,21.243013
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2015,76318.24,20.889032
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2013,75745.44,20.731411
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2014,75546.47,20.676659
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2022,75435.45,20.64611
Sudán,IPCC Agricultura,Emisiones (CO2eq) (AR5),2012,75258.63,20.597454
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2021,74874.945,20.49187
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2020,74403.46,20.36213
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2019,73917.1,20.228296
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2018,73434.484,20.095491
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2017,72899.664,19.94832
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2016,72346.65,19.796144
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2015,72288.6,19.78017
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2014,71289.21,19.505161
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2013,70919.53,19.403435
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) (AR5),2012,70441.09,19.27178
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2004,64239.637,17.565283
Serbia y Montenegro,Energía,Emisiones (CO2),2004,61723.863,16.873001
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2003,59800.953,16.343863
Serbia y Montenegro,Energía,Emisiones (CO2),2003,57308.887,15.658104
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2002,55944.27,15.282594
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1998,55821.73,15.248874
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2005,55113.406,15.053959
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2021,54269.492,14.821734
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2022,54191.52,14.800278
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2020,54165.41,14.793093
Serbia y Montenegro,Energía,Emisiones (CO2),2002,53495.527,14.608757
Serbia y Montenegro,Energía,Emisiones (CO2),1998,53311.676,14.558166
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2019,53283.66,14.550456
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1997,53174.918,14.520533
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2018,53136.027,14.509831
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2022,52860.816,14.434099
Serbia y Montenegro,Energía,Emisiones (CO2),2005,52851.09,14.431423
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2017,52839.523,14.42824
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2001,52836.797,14.42749
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2016,52629.84,14.370541
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2021,52467.793,14.325949
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2015,52381.45,14.302189
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2018,52331.688,14.288496
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2020,52139.27,14.235547
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2013,51847.496,14.155257
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2019,51800.41,14.142301
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2014,51747.773,14.127816
Sudán,IPCC Agricultura,Emisiones (CO2eq) proveniente de CH4 (AR5),2012,51708.53,14.117018
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2018,51464.13,14.049764
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2017,51091.645,13.947265
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2022,50833.926,13.876347
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2022,50833.926,13.876347
Serbia y Montenegro,Energía,Emisiones (CO2),1997,50756.957,13.855166
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2016,50706.957,13.841408
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2015,50679.92,13.833968
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2021,50453.13,13.771561
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2021,50453.13,13.771561
Serbia y Montenegro,Energía,Emisiones (CO2),2001,50432.734,13.765948
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2020,50136.207,13.684351
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2020,50136.207,13.684351
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2014,49975.55,13.640142
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2020,49907.875,13.621519
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2019,49808.844,13.594269
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2019,49808.844,13.594269
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2013,49717.062,13.569013
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2018,49483.98,13.504873
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2018,49483.98,13.504873
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1996,49427.934,13.48945
Sudán,Emissiones derivadas del sector ganadero,Emisiones (CO2eq) proveniente de CH4 (AR5),2012,49381.996,13.4768095
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2017,49123.84,13.405771
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2017,49123.84,13.405771
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2016,48751.52,13.303318
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2016,48751.52,13.303318
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2015,48737.793,13.2995405
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2015,48737.793,13.2995405
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),2000,48554.953,13.249228
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1992,48508.035,13.236317
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2016,48315.82,13.183423
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2014,48043.812,13.108573
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2014,48043.812,13.108573
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2013,47794.16,13.039875
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2013,47794.16,13.039875
Sudán,Fermentación entérica,Emisiones (CO2eq) proveniente de CH4 (AR5),2012,47467.56,12.950002
Sudán,Fermentación entérica,Emisiones (CO2eq) (AR5),2012,47467.56,12.950002
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2021,47227.734,12.884007
Serbia y Montenegro,Energía,Emisiones (CO2),1996,47114.723,12.852909
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2021,46413.04,12.659822
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2020,46376.777,12.649844
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2022,46160.965,12.590458
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2017,46098.098,12.573158
Serbia y Montenegro,Energía,Emisiones (CO2),2000,46077.16,12.567397
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2018,45645.72,12.448674
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2019,45591.312,12.433702
Serbia y Montenegro,Energía,Emisiones (CO2),1992,45242.32,12.337668
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2017,45026.965,12.278408
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2016,44930.457,12.251851
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2022,44764.03,12.206055
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2015,44694.305,12.186868
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2014,43715.465,11.917514
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2013,43583.773,11.881275
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1995,43378.84,11.8248825
Sudán,Suelos agrícolas,Emisiones (CO2eq) (AR5),2012,43012.46,11.724064
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2019,42995.23,11.719322
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1993,42911.504,11.696282
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2021,42079.375,11.4673
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2022,41954.48,11.432932
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2020,41902.402,11.418601
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1994,41252.81,11.239848
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2019,41202.062,11.225884
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2018,40912.203,11.146122
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2017,40545.055,11.045092
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2016,40225.504,10.957158
Serbia y Montenegro,Energía,Emisiones (CO2),1995,40207.727,10.952267
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2015,39937.69,10.877959
Serbia y Montenegro,Energía,Emisiones (CO2),1993,39794.543,10.838568
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2014,39404.484,10.731234
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2013,39273.777,10.695266
Sudán,Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),2012,38982.38,10.61508
Serbia y Montenegro,Energía,Emisiones (CO2eq) (AR5),1999,38959.72,10.608844
Serbia y Montenegro,Energía,Emisiones (CO2),1994,38391.76,10.452556
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2015,37845.152,10.302141
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2012,37721.523,10.268122
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2014,37553.184,10.221799
Sudán del Sur,IPCC Agricultura,Emisiones (CO2eq) (AR5),2013,37177.676,10.118467
Serbia y Montenegro,Energía,Emisiones (CO2),1999,36872.992,10.034626
Sudán,Otro,Emisiones (CO2eq) (AR5),2020,34708.023,9.438877
Sudán,Otro,Emisiones (CO2eq) (AR5),2021,34277.312,9.320356
Sudán,Otro,Emisiones (CO2eq) (AR5),2022,34165.51,9.289591
Sudán,Otro,Emisiones (CO2eq) (AR5),2019,33802.516,9.189703
