PC1,PC2,PC3,PC4,PC5,País
-24796.297,-20551.352,-19974.033,1567.5026,-5567.623,Gibraltar
-55837.207,110.608284,16213.631,1511.9808,9355.487,Guam
-23548.756,-251.15477,-20437.264,2500.8896,-276.26718,Isla Norfolk
-24300.666,-7612.8013,-20196.225,3168.2908,-4541.8354,Isla de Man
-23629.574,-187.75421,-20388.562,2663.7773,-731.52625,Islas Anglonormandas
-56900.742,-20290.44,16660.588,236.71823,4582.6885,Islas Caimán
-46439.945,-17125.932,27981.732,-31585.512,-11675.684,Islas Malvinas (Falkland Islands)
-24209.176,-20568.314,-19450.555,173.61446,-5784.2817,Islas Marianas del Norte
-24749.137,-20405.4,-19960.709,1428.1362,-5440.9087,Islas Marshall
-23543.676,-175.95064,-20461.37,2500.2983,-358.54147,Islas Svalbard y Jan Mayen
-55617.24,177.17697,16250.775,1317.6066,9336.668,Islas Vírgenes de los Estados Unidos
-56908.324,-20318.855,16661.424,378.60678,4538.6577,Islas Wallis y Futuna
-24289.717,-20588.496,-20365.2,364.30875,-2700.2886,Mayotte
-56817.395,-20291.977,16632.486,336.51352,4483.937,Montserrat
-24672.824,-20036.498,-19849.465,1185.0771,-5258.2935,Palau
-23545.52,-179.32364,-20460.795,2503.946,-367.0977,Pitcairn
-56919.07,-20170.748,16703.098,241.06223,4538.1895,Samoa americana
-56993.418,-20329.771,16642.336,381.28082,4578.5547,San Pedro y Miquelón
9591.5205,255726.3,383.0347,-1614.6621,-894.38934,Serbia y Montenegro
516397.22,-19371.246,-16209.679,-8522.19,9787.6,Sudán
211869.03,-7967.0503,57667.67,17566.414,-16631.996,Sudán del Sur
-54139.215,409.01117,15957.211,1696.3137,9026.927,Sáhara Occidental
