PC1,PC2,PC3,PC4,PC5,País
-2969216.2,1229143.4,197984.17,-349512.25,64152.164,Polonia
-5063114.0,292129.9,129819.125,-193970.48,-48193.07,Portugal
-4978835.5,100427.32,312867.94,-239356.2,58826.12,Qatar
-1767898.5,2040512.9,130488.83,-30723.363,22261.258,Reino Unido de Gran Bretaña e Irlanda del Norte
-5317041.5,281694.9,31113.438,-417147.1,-114038.31,República Centroafricana
-5240238.0,224164.44,55563.137,-202362.7,29980.379,República Democrática Popular Lao
-3897523.8,-1071746.4,-1447976.8,373335.53,1053707.9,República Democrática del Congo
-5206624.0,250591.69,83889.08,-220277.17,-23786.6,República Dominicana
-4766842.5,615805.56,122111.41,-222252.48,111264.875,República Popular Democrática de Corea
-4942439.0,-14325.865,-332986.75,-61261.73,18534.043,República Unida de Tanzanía
-3363482.0,-147660.48,1049442.1,-92199.2,-61631.58,República de Corea
-5075719.0,273486.2,136627.17,-173470.56,-30598.48,República Árabe Siria
-4493066.5,793194.8,3986.8347,-367779.44,-73806.36,Rumanía
-5306053.5,282037.56,98521.49,-213851.89,1264.5856,Rwanda
-5317228.0,274991.2,125762.07,-245813.19,52026.56,Saint Kitts y Nevis
-5322764.5,279708.5,123065.42,-235172.23,36769.83,Samoa
-5318549.0,278324.25,127061.27,-241625.89,48986.508,San Vicente y las Granadinas
-5319822.0,272413.97,122430.45,-245752.56,44101.184,Santa Lucía
-5324287.5,280424.22,124679.84,-235124.0,37358.254,Santo Tomé y Príncipe
-5243501.5,244830.6,42740.375,-201837.08,-11625.765,Senegal
-5312838.5,266853.1,124528.94,-256615.44,60511.023,Seychelles
-5117815.5,96957.516,-214308.5,-278128.1,-80691.164,Sierra Leona
-5095416.0,293783.3,202843.08,-208968.56,59081.418,Singapur
-5137085.5,159628.05,-162591.97,-194585.22,-77780.34,Somalia
-5231180.5,249722.86,85612.93,-220821.16,3306.0605,Sri Lanka
-2812461.5,378085.94,692991.44,44938.215,-39594.695,Sudáfrica
-3305541.5,-1555785.0,122537.52,-597225.2,340034.3,Sudán (ex)
-4914009.5,479073.72,81851.2,-241707.56,40512.496,Suecia
-5063760.5,358202.56,104873.79,-237032.23,13236.955,Suiza
-5304657.5,291239.72,119578.17,-202473.78,20203.28,Suriname
-4060335.8,-385021.25,31209.084,-266504.78,28902.762,Tailandia
-5316541.0,292631.0,121867.64,-221719.27,18097.076,Timor-Leste
-5308049.5,285484.47,105973.8,-207331.75,2643.9155,Togo
-5146498.5,264573.28,190745.73,-192092.45,27262.209,Trinidad y Tabago
-5193412.0,239765.61,123711.17,-230782.75,25982.81,Túnez
-3999199.5,-86607.6,250424.4,-380610.03,-223761.33,Türkiye
-5167588.5,171010.36,-61128.16,-179582.88,-18281.258,Uganda
16424795.0,7757049.5,398295.03,-198940.06,-941708.3,Unión Europea (27)
-5121246.5,187196.34,-173822.16,-268365.44,-147675.81,Uruguay
-5315521.0,275840.78,124181.52,-241479.25,50448.5,Vanuatu
-4212591.5,114152.69,-125585.92,235933.66,35376.42,Venezuela (República Bolivariana de)
-4502432.0,-278160.94,-25257.277,-418488.12,84157.22,Viet Nam
-5198168.0,232307.4,89531.35,-220519.97,3551.2876,Yemen
-5167242.5,174538.55,-30636.707,-148211.48,70306.625,Zambia
-5150265.5,233710.55,16386.465,-177376.34,19923.795,Zimbabwe
7168664.0,-5701715.0,-5808743.5,3286589.0,336148.16,África
-3312767.2,-1298866.2,-1354608.5,1408636.4,1285050.1,África central
-2574714.2,204377.72,501997.06,223433.73,52370.438,África meridional
-3042980.0,-981976.25,-1281739.5,354528.8,-259948.78,África occidental
-2784698.8,-1601473.6,-2871580.2,439931.38,-394913.66,África oriental
-2427968.5,-832974.5,-331731.34,-11867.175,-320265.0,África septentrional
