cluster_id,n_registros,n_paises,n_productos,n_elementos,año_min,año_max,tensor_shape,completitud_%,mean_normalized,std_normalized,window_size,n_sequences,correlacion_media_paises,n_outliers,cv_medio,gap_medio,varianza_pc1
0,81197,30,16,9,1990,2022,"[30, 16, 9, 33]",56.95636924803591,3520.38232421875,29429.89453125,5,28,0.13432463307211967,478,0.3001862053852731,14.27046511627907,0.9617114663124084
1,971242,193,16,9,1961,2022,"[193, 16, 9, 62]",56.36583746541126,26757.56640625,267295.78125,5,57,0.5604372327681744,5672,0.4635496367109541,50.34565421186554,0.8931543827056885
2,88689,29,16,9,1961,2022,"[29, 16, 9, 62]",34.254495736002966,23.324039459228516,244.66455078125,5,57,0.09120998749959058,677,0.5293651404992483,47.628147733631785,0.7891985774040222
3,36123,22,16,9,1990,2022,"[22, 16, 9, 33]",34.55291551882461,406.8466491699219,3634.03125,5,28,-0.0025568822188338693,339,0.34480764190296376,24.462281015373616,0.8047220706939697
4,12258,6,16,9,1961,1999,"[6, 16, 9, 39]",36.37820512820513,19138.904296875,157996.34375,5,34,0.7039654870827993,39,0.26287520780637474,23.55824175824176,0.993725597858429
