País,Producto,Elemento,Año,Valor,Z_score
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1992,1212189.1,41.06942
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2022,1166065.8,39.502193
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2018,1140864.1,38.645866
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1993,1124814.0,38.1005
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2021,1118450.1,37.88426
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2019,1096044.6,37.12294
Federación de Rusia,Energía,Emisiones (CO2),1992,1082600.9,36.666134
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2020,1077339.5,36.48736
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2017,1067254.5,36.14468
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2012,1051766.1,35.6184
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2016,1035891.3,35.078987
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2011,1034638.2,35.036407
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2014,1020235.75,34.547028
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2015,1016175.75,34.409073
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2013,1013758.7,34.326942
Federación de Rusia,Energía,Emisiones (CO2),2022,1006354.6,34.07536
Federación de Rusia,Energía,Emisiones (CO2),1993,1003231.6,33.969242
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1994,1000332.5,33.870735
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2008,998636.25,33.813095
Federación de Rusia,Energía,Emisiones (CO2),2018,984447.1,33.330963
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2010,978157.94,33.117264
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2006,972295.25,32.918056
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2007,971810.7,32.90159
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1995,964757.06,32.661915
Federación de Rusia,Energía,Emisiones (CO2),2021,955315.75,32.341106
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2005,947839.44,32.08707
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1996,946062.94,32.026707
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2004,940922.2,31.852028
Federación de Rusia,Energía,Emisiones (CO2),2019,933920.44,31.614115
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2003,929668.3,31.469631
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2009,928132.75,31.417454
Federación de Rusia,Energía,Emisiones (CO2),2020,923261.3,31.251928
Federación de Rusia,Energía,Emisiones (CO2),2017,917949.75,31.071445
Federación de Rusia,Energía,Emisiones (CO2),2012,916998.1,31.03911
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2001,906287.4,30.675169
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2000,904375.8,30.610216
Federación de Rusia,Energía,Emisiones (CO2),2011,904198.6,30.604197
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),2002,898271.1,30.402784
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1997,897409.56,30.37351
Federación de Rusia,Energía,Emisiones (CO2eq) (AR5),1999,896726.0,30.350283
Federación de Rusia,Energía,Emisiones (CO2),2016,894035.44,30.25886
Federación de Rusia,Energía,Emisiones (CO2),1994,887950.7,30.052107
Federación de Rusia,Energía,Emisiones (CO2),2014,884402.6,29.931547
