PC1,PC2,PC3,PC4,PC5,País
-1750.81,-742.5265,-270.5074,840.02655,-87.317726,Andorra
-3872.1572,-648.1979,-813.38904,-411.90768,-447.2106,Anguila
60280.406,-789.97943,-1143.045,-265.89847,-69.218666,Antillas Neerlandesas (ex)
1254.1113,-1073.0691,1156.3419,4994.2295,-1842.629,Aruba
-4143.2656,-805.56836,-1018.40393,-783.6328,-553.2094,"Ascensión, Santa Elena y Tristán de Acuña"
-501.5938,-808.755,-1282.2345,-1411.5996,143.14484,Bermudas
-1055.1688,-1530.4755,1890.5166,4660.9316,928.7073,"China, RAE de Macao"
-380.8296,-679.9576,-1060.8192,-729.2529,488.115,Groenlandia
-350.4214,734.6828,-620.06824,-820.05005,72.48677,Guadalupe
1284.2375,-1509.8849,16643.533,-1759.9985,-142.86456,Guayana Francesa
-4033.4268,-1404.7897,-908.5217,-665.49493,-28.832905,Islas Cook
160.61476,-469.85843,867.0343,489.38983,1051.4034,Islas Feroe
-4000.4666,-747.81506,-671.8907,51.880005,-263.61865,Islas Turcas y Caicos
-3897.6274,-874.59564,-720.65405,-214.20193,-425.08417,Islas Vírgenes Británicas
-4010.2134,-1458.9194,-898.03723,-731.9799,-14.579482,Kiribati
-3104.715,-781.3742,-818.7601,-288.20514,-393.16016,Liechtenstein
-3479.2332,-981.1362,627.0551,2841.9302,1697.4976,Maldivas
-128.65883,25.58698,-1344.5405,-51.537083,5.354478,Martinica
-3399.7825,-700.11926,-933.42377,-248.27289,-424.18713,Mónaco
-3673.6982,-1533.8505,-912.5321,-700.9309,38.290035,Nauru
-4149.194,-1524.7954,-1006.54877,-898.7194,-92.34163,Niue
-527.07666,-756.3704,-1300.6095,-1456.2753,449.03793,Polinesia Francesa
-469.28635,24326.979,502.65442,140.14034,-16.831413,Puerto Rico
-424.21304,7.4441466,-1107.4377,-968.54333,714.4541,Reunión
-3265.1511,-806.1926,-754.51666,579.3559,-396.59036,San Marino
-4158.178,-641.7398,-1034.0057,-798.077,-590.74994,Santa Sede
-137.83891,-1559.4797,-1349.0754,-103.356,328.41965,Tokelau
-3915.112,-774.65564,-726.8255,-409.4865,-33.88109,Tonga
-4151.241,-1490.5842,-991.2822,-880.4703,-94.60372,Tuvalu
