Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Belarús,Bélgica,23,2000,2022,40,0.21101185602944164,8,0,1992-1999,N/A-N/A
0,Belarús,Bosnia y Herzegovina,31,1992,2022,41,0.14864960915125178,0,0,N/A-N/A,N/A-N/A
0,Belarús,Chequia,30,1993,2022,41,0.37787788673332506,1,0,1992-1992,N/A-N/A
0,Belarús,Croacia,31,1992,2022,41,0.17309506237628675,0,0,N/A-N/A,N/A-N/A
0,Belarús,Eritrea,30,1993,2022,39,-0.1725951912629647,1,0,1992-1992,N/A-N/A
0,Belarús,Eslovaquia,30,1993,2022,41,0.3901606123993768,1,0,1992-1992,N/A-N/A
0,Belarús,Eslovenia,31,1992,2022,41,0.0734585388099543,0,0,N/A-N/A,N/A-N/A
0,Belarús,Estonia,31,1992,2022,41,0.4423773919580617,0,0,N/A-N/A,N/A-N/A
0,Belarús,Etiopía,30,1993,2022,39,0.07283409558625493,1,0,1992-1992,N/A-N/A
0,Belarús,Federación de Rusia,31,1992,2022,41,0.4880770772244884,0,0,N/A-N/A,N/A-N/A
0,Belarús,Georgia,31,1992,2022,41,0.12436576336098014,0,0,N/A-N/A,N/A-N/A
0,Belarús,Kazajstán,31,1992,2022,41,0.3861454635556863,0,0,N/A-N/A,N/A-N/A
0,Belarús,Kirguistán,31,1992,2022,40,0.22723011986738345,0,0,N/A-N/A,N/A-N/A
0,Belarús,Letonia,31,1992,2022,40,0.5666852078371967,0,0,N/A-N/A,N/A-N/A
0,Belarús,Lituania,31,1992,2022,41,0.5928728233325502,0,0,N/A-N/A,N/A-N/A
0,Belarús,Luxemburgo,23,2000,2022,40,0.34956696296820494,8,0,1992-1999,N/A-N/A
0,Belarús,Macedonia del Norte,31,1992,2022,39,0.19711487811305037,0,0,N/A-N/A,N/A-N/A
0,Belarús,Micronesia (Estados Federados de),31,1992,2022,39,-0.014042229161575817,0,1,N/A-N/A,1991-1991
0,Belarús,Montenegro,17,2006,2022,40,0.041172761686707304,14,0,1992-2005,N/A-N/A
0,Belarús,Palestina,31,1992,2022,34,-0.21379799400075847,0,2,N/A-N/A,1990-1991
0,Belarús,República de Moldova,31,1992,2022,40,0.3459143322044037,0,0,N/A-N/A,N/A-N/A
0,Belarús,Serbia,17,2006,2022,41,-0.0006190413329319652,14,0,1992-2005,N/A-N/A
0,Belarús,Tayikistán,31,1992,2022,41,0.04479398110730566,0,0,N/A-N/A,N/A-N/A
0,Belarús,Turkmenistán,31,1992,2022,40,-0.056978139894290555,0,0,N/A-N/A,N/A-N/A
0,Belarús,Ucrania,31,1992,2022,41,0.47837182475017437,0,0,N/A-N/A,N/A-N/A
0,Belarús,Uzbekistán,31,1992,2022,40,-0.01057787907359993,0,0,N/A-N/A,N/A-N/A
0,Belarús,Asia central,31,1992,2022,41,0.13146450326458733,0,0,N/A-N/A,N/A-N/A
0,Bélgica,Bosnia y Herzegovina,23,2000,2022,40,-0.025537254676816445,0,8,N/A-N/A,1992-1999
0,Bélgica,Chequia,23,2000,2022,40,0.43421689004307984,0,7,N/A-N/A,1993-1999
0,Bélgica,Croacia,23,2000,2022,40,0.35554603896073506,0,8,N/A-N/A,1992-1999
0,Bélgica,Eritrea,23,2000,2022,39,-0.16219310314808555,0,7,N/A-N/A,1993-1999
0,Bélgica,Eslovaquia,23,2000,2022,40,0.45516824609230766,0,7,N/A-N/A,1993-1999
0,Bélgica,Eslovenia,23,2000,2022,40,0.3518944456053497,0,8,N/A-N/A,1992-1999
0,Bélgica,Estonia,23,2000,2022,40,0.24112399454634345,0,8,N/A-N/A,1992-1999
0,Bélgica,Etiopía,23,2000,2022,39,-0.2663018016512023,0,7,N/A-N/A,1993-1999
0,Bélgica,Federación de Rusia,23,2000,2022,40,0.1821834529033029,0,8,N/A-N/A,1992-1999
0,Bélgica,Georgia,23,2000,2022,40,0.12478195886238817,0,8,N/A-N/A,1992-1999
0,Bélgica,Kazajstán,23,2000,2022,40,-0.057301310825763785,0,8,N/A-N/A,1992-1999
0,Bélgica,Kirguistán,23,2000,2022,40,-0.22879702340206906,0,8,N/A-N/A,1992-1999
0,Bélgica,Letonia,23,2000,2022,40,0.14324275774082076,0,8,N/A-N/A,1992-1999
0,Bélgica,Lituania,23,2000,2022,40,0.38843993049016706,0,8,N/A-N/A,1992-1999
0,Bélgica,Luxemburgo,23,2000,2022,40,0.36970956039799346,0,0,N/A-N/A,N/A-N/A
0,Bélgica,Macedonia del Norte,23,2000,2022,39,0.3300013917856264,0,8,N/A-N/A,1992-1999
0,Bélgica,Micronesia (Estados Federados de),23,2000,2022,39,-0.2840865819477986,0,9,N/A-N/A,1991-1999
0,Bélgica,Montenegro,17,2006,2022,40,0.18096258284958985,6,0,2000-2005,N/A-N/A
0,Bélgica,Palestina,23,2000,2022,34,-0.02836723583286009,0,10,N/A-N/A,1990-1999
0,Bélgica,República de Moldova,23,2000,2022,40,0.0989411725832481,0,8,N/A-N/A,1992-1999
0,Bélgica,Serbia,17,2006,2022,40,0.21004622052683314,6,0,2000-2005,N/A-N/A
0,Bélgica,Tayikistán,23,2000,2022,40,-0.3145750152465128,0,8,N/A-N/A,1992-1999
0,Bélgica,Turkmenistán,23,2000,2022,40,-0.2582212121454248,0,8,N/A-N/A,1992-1999
0,Bélgica,Ucrania,23,2000,2022,40,0.43314696583844164,0,8,N/A-N/A,1992-1999
0,Bélgica,Uzbekistán,23,2000,2022,39,-0.12998572084362006,0,8,N/A-N/A,1992-1999
0,Bélgica,Asia central,23,2000,2022,40,-0.2283023007952453,0,8,N/A-N/A,1992-1999
0,Bosnia y Herzegovina,Chequia,30,1993,2022,41,-0.04674406051095216,1,0,1992-1992,N/A-N/A
0,Bosnia y Herzegovina,Croacia,31,1992,2022,41,0.19601308405067777,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Eritrea,30,1993,2022,39,0.24187967558830506,1,0,1992-1992,N/A-N/A
0,Bosnia y Herzegovina,Eslovaquia,30,1993,2022,41,-0.10775151358637376,1,0,1992-1992,N/A-N/A
0,Bosnia y Herzegovina,Eslovenia,31,1992,2022,41,-0.026719085736744443,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Estonia,31,1992,2022,41,0.20249131227612774,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Etiopía,30,1993,2022,39,0.4769140840766598,1,0,1992-1992,N/A-N/A
0,Bosnia y Herzegovina,Federación de Rusia,31,1992,2022,41,0.12741551109069552,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Georgia,31,1992,2022,41,0.09939448211537161,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Kazajstán,31,1992,2022,41,0.24977474914199085,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Kirguistán,31,1992,2022,40,0.31184452865256695,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Letonia,31,1992,2022,40,0.10323829700674034,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Lituania,31,1992,2022,41,0.18226616050622393,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Luxemburgo,23,2000,2022,40,0.06681211128409789,8,0,1992-1999,N/A-N/A
0,Bosnia y Herzegovina,Macedonia del Norte,31,1992,2022,39,0.0931298288083063,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Micronesia (Estados Federados de),31,1992,2022,39,0.011803480233192191,0,1,N/A-N/A,1991-1991
0,Bosnia y Herzegovina,Montenegro,17,2006,2022,40,0.3725234720834941,14,0,1992-2005,N/A-N/A
0,Bosnia y Herzegovina,Palestina,31,1992,2022,34,0.2737225650722753,0,2,N/A-N/A,1990-1991
0,Bosnia y Herzegovina,República de Moldova,31,1992,2022,40,-0.10949664835543692,0,0,N/A-N/A,N/A-N/A
0,Bosnia y Herzegovina,Serbia,17,2006,2022,41,0.2987663524447085,14,0,1992-2005,N/A-N/A
0,Bosnia y Herzegovina,Tayikistán,31,1992,2022,41,0.30358537780700445,0,0,N/A-N/A,N/A-N/A
