País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990
Côte d'Ivoire,1961,2022,62,62,100.0,41,9,219,95.34883720930233,100.0,9394,69.18544704669318,1972,7422,True,True
Croacia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8693,121.92145862552594,0,8693,False,True
Cuba,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9767,69.3974705130027,2030,7737,True,True
Dinamarca,1961,2022,62,62,100.0,40,9,226,93.02325581395348,100.0,11199,79.92435055666571,2001,9198,True,True
Djibouti,1961,2022,62,62,100.0,39,9,207,90.69767441860465,100.0,8484,66.10565684899485,1616,6868,True,True
Dominica,1961,2022,62,62,100.0,38,9,207,88.37209302325581,100.0,8876,69.16004363409694,1914,6962,True,True
Ecuador,1961,2022,62,62,100.0,40,9,218,93.02325581395348,100.0,9318,68.94051494525007,2030,7288,True,True
Egipto,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9548,68.14159292035397,2030,7518,True,True
El Salvador,1961,2022,62,62,100.0,41,9,221,95.34883720930233,100.0,9309,67.93898700919574,1972,7337,True,True
Emiratos Árabes Unidos,1961,2022,62,62,100.0,38,9,213,88.37209302325581,100.0,8883,67.26487960018174,1732,7151,True,True
Eritrea,1993,2022,30,30,100.0,39,9,207,90.69767441860465,100.0,6200,99.8389694041868,0,6200,False,True
Eslovaquia,1993,2022,30,30,100.0,41,9,228,95.34883720930233,100.0,8105,118.49415204678363,0,8105,False,True
Eslovenia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8550,119.91584852734923,0,8550,False,True
España,1961,2022,62,62,100.0,42,9,231,97.67441860465115,100.0,11451,79.95391705069125,2030,9421,True,True
Estados Unidos de América,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11860,82.09885089298076,2088,9772,True,True
Estonia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8689,121.86535764375877,0,8689,False,True
Eswatini,1961,2022,62,62,100.0,41,9,216,95.34883720930233,100.0,9286,69.33990442054959,1943,7343,True,True
