País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990
Togo,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9576,70.20527859237536,2001,7575,True,True
Tokelau,1961,2022,62,62,100.0,29,8,150,67.44186046511628,88.88888888888889,6110,65.6989247311828,1160,4950,True,True
Tonga,1961,2022,62,62,100.0,38,8,195,88.37209302325581,88.88888888888889,7829,64.75599669148056,1508,6321,True,True
Trinidad y Tabago,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9426,67.27091064801598,2001,7425,True,True
Túnez,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9499,69.0133682069166,1914,7585,True,True
Türkiye,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11544,79.91139415755227,2088,9456,True,True
Turkmenistán,1992,2022,31,31,100.0,41,9,223,95.34883720930233,100.0,6975,100.89686098654708,0,6975,False,True
Tuvalu,1961,2022,62,62,100.0,36,8,185,83.72093023255815,88.88888888888889,7265,63.33914559721011,1218,6047,True,True
Ucrania,1992,2022,31,31,100.0,42,9,233,97.67441860465115,100.0,8877,122.89907240758689,0,8877,False,True
Uganda,1961,2022,62,62,100.0,41,9,216,95.34883720930233,100.0,9149,68.31690561529271,1943,7206,True,True
URSS,1961,1991,31,31,100.0,41,9,223,95.34883720930233,100.0,2534,36.65557645016636,2088,446,True,True
Uruguay,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9652,68.88381387382245,2030,7622,True,True
Uzbekistán,1992,2022,31,31,100.0,41,9,221,95.34883720930233,100.0,7384,107.77988614800759,0,7384,False,True
Vanuatu,1961,2022,62,62,100.0,37,9,203,86.04651162790698,100.0,8518,67.67837279516924,1856,6662,True,True
Venezuela (República Bolivariana de),1961,2022,62,62,100.0,42,9,225,97.67441860465115,100.0,9474,67.91397849462366,2030,7444,True,True
Viet Nam,1961,2022,62,62,100.0,42,9,225,97.67441860465115,100.0,9700,69.53405017921148,2030,7670,True,True
Yemen,1961,2022,62,62,100.0,39,9,213,90.69767441860465,100.0,8998,68.13569589580494,1885,7113,True,True
Yugoslav RFS,1961,1991,31,31,100.0,40,9,217,93.02325581395348,100.0,2522,37.490709082800656,2088,434,True,True
Zambia,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9403,68.315896541703,2009,7394,True,True
Zimbabwe,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9593,69.69630921243825,2030,7563,True,True
Mundo,1961,2022,62,62,100.0,43,9,241,100.0,100.0,12268,82.10413599250434,2088,10180,True,True
África,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9777,69.46852351854483,2088,7689,True,True
África oriental,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9765,69.38325991189427,2088,7677,True,True
África central,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9488,69.56011730205279,2030,7458,True,True
África septentrional,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9777,69.46852351854483,2088,7689,True,True
África meridional,1961,2022,62,62,100.0,41,9,220,95.34883720930233,100.0,9488,69.56011730205279,2030,7458,True,True
África occidental,1961,2022,62,62,100.0,42,9,222,97.67441860465115,100.0,9554,69.41296134844522,2030,7524,True,True
Américas,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9907,69.47405329593268,2088,7819,True,True
América septentrional,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9907,69.47405329593268,2088,7819,True,True
América central,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9731,69.14167969305102,2030,7701,True,True
El Caribe,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,9825,69.19988730807157,2088,7737,True,True
América del Sur,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9686,69.12646303168712,2030,7656,True,True
Asia,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True
Asia central,1992,2022,31,31,100.0,42,9,229,97.67441860465115,100.0,7311,102.98633610367658,0,7311,False,True
Asia oriental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9876,69.25666199158485,2088,7788,True,True
Asia meridional,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,9843,69.32666572756726,2088,7755,True,True
Asia sudoriental,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,9843,69.32666572756726,2088,7755,True,True
Asia occidental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True
Europa,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9909,69.48807854137448,2088,7821,True,True
Europa oriental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9905,69.46002805049089,2088,7817,True,True
Europa septentrional,1961,2022,62,62,100.0,41,9,227,95.34883720930233,100.0,9723,69.08483728861731,2001,7722,True,True
Europa meridional,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9904,69.45301542776998,2088,7816,True,True
Europa occidental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9908,69.48106591865357,2088,7820,True,True
Oceanía,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True
Australia y Nueva Zelandia,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9840,69.60950764006792,2088,7752,True,True
Melanesia,1961,2022,62,62,100.0,42,9,223,97.67441860465115,100.0,9360,67.69853898452192,2001,7359,True,True
Micronesia,1961,2022,62,62,100.0,41,8,217,95.34883720930233,88.88888888888889,8756,65.0810167979783,1624,7132,True,True
Polinesia,1961,2022,62,62,100.0,39,9,211,90.69767441860465,100.0,9162,70.03516281914081,2001,7161,True,True
Unión Europea (27),1961,2022,62,62,100.0,42,9,232,97.67441860465115,100.0,11614,80.74249165739711,2088,9526,True,True
Los países menos desarrollados,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9870,69.21458625525946,2088,7782,True,True
Países sin litoral en vías de desarrollo,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9902,69.43899018232818,2088,7814,True,True
Pequeñas islas en vías de Desarrollo,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9876,69.25666199158485,2088,7788,True,True
Países de bajos ingresos y con déficit de alim.,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9902,69.43899018232818,2088,7814,True,True
Import netos alim en Des,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9906,69.46704067321178,2088,7818,True,True
Países Anexo I,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11920,82.51419077945452,2088,9832,True,True
Países No-Anexo I,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11767,81.45507406894642,2088,9679,True,True
OECD,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9909,69.48807854137448,2088,7821,True,True
